17:03:17 [Skill] INFO  Skill:137 - Connecting to Furhat server on 192.168.1.2:1932
17:03:18 [Skill] WARN  BrokerClient: 81 - Connection refused (Connection refused) (is the server running and reachable?)
17:03:18 [Skill] WARN  BrokerClient: 81 - Connection refused (Connection refused) (is the server running and reachable?)
17:03:18 [Skill] WARN  BrokerClient: 81 - Connection refused (Connection refused) (is the server running and reachable?)
17:03:18 [Skill] WARN  BrokerClient: 81 - Connection refused (Connection refused) (is the server running and reachable?)
17:03:18 [Skill] WARN  BrokerClient: 81 - Connection refused (Connection refused) (is the server running and reachable?)
17:03:18 [Skill] WARN  BrokerClient: 81 - Connection refused (Connection refused) (is the server running and reachable?)
17:03:18 [Skill] WARN  BrokerClient: 81 - Connection refused (Connection refused) (is the server running and reachable?)
17:03:19 [Skill] WARN  BrokerClient: 81 - Connection refused (Connection refused) (is the server running and reachable?)
17:03:19 [Skill] WARN  BrokerClient: 81 - Connection refused (Connection refused) (is the server running and reachable?)
17:03:19 [Skill] WARN  BrokerClient: 81 - Connection refused (Connection refused) (is the server running and reachable?)
17:03:19 [Skill] WARN  BrokerClient: 81 - Connection refused (Connection refused) (is the server running and reachable?)
17:03:19 [Skill] WARN  BrokerClient: 81 - Connection refused (Connection refused) (is the server running and reachable?)
17:03:19 [Skill] WARN  BrokerClient: 81 - Connection refused (Connection refused) (is the server running and reachable?)
17:03:19 [Skill] WARN  BrokerClient: 81 - Connection refused (Connection refused) (is the server running and reachable?)
17:03:19 [Skill] WARN  BrokerClient: 81 - Connection refused (Connection refused) (is the server running and reachable?)
17:03:19 [Skill] WARN  BrokerClient: 81 - Connection refused (Connection refused) (is the server running and reachable?)
17:03:19 [Skill] WARN  BrokerClient: 81 - Connection refused (Connection refused) (is the server running and reachable?)
17:03:20 [Skill] WARN  BrokerClient: 81 - Connection refused (Connection refused) (is the server running and reachable?)
17:03:20 [Skill] WARN  BrokerClient: 81 - Connection refused (Connection refused) (is the server running and reachable?)
17:03:20 [Skill] WARN  BrokerClient: 81 - Connection refused (Connection refused) (is the server running and reachable?)
17:03:20 [Skill] WARN  BrokerClient: 81 - Connection refused (Connection refused) (is the server running and reachable?)
17:03:20 [Skill] WARN  BrokerClient: 81 - Connection refused (Connection refused) (is the server running and reachable?)
17:03:20 [Skill] WARN  BrokerClient: 81 - Connection refused (Connection refused) (is the server running and reachable?)
17:03:20 [Skill] WARN  BrokerClient: 81 - Connection refused (Connection refused) (is the server running and reachable?)
17:03:20 [Skill] WARN  BrokerClient: 81 - Connection refused (Connection refused) (is the server running and reachable?)
17:03:20 [Skill] WARN  BrokerClient: 81 - Connection refused (Connection refused) (is the server running and reachable?)
17:03:20 [Skill] WARN  BrokerClient: 81 - Connection refused (Connection refused) (is the server running and reachable?)
17:03:21 [Skill] WARN  BrokerClient: 81 - Connection refused (Connection refused) (is the server running and reachable?)
17:03:21 [Skill] WARN  BrokerClient: 81 - Connection refused (Connection refused) (is the server running and reachable?)
17:03:21 [Skill] WARN  BrokerClient: 81 - Connection refused (Connection refused) (is the server running and reachable?)
17:03:21 [Skill] WARN  BrokerClient: 81 - Connection refused (Connection refused) (is the server running and reachable?)
17:03:21 [Skill] WARN  BrokerClient: 81 - Connection refused (Connection refused) (is the server running and reachable?)
17:03:21 [Skill] WARN  BrokerClient: 81 - Connection refused (Connection refused) (is the server running and reachable?)
17:03:21 [Skill] WARN  BrokerClient: 81 - Connection refused (Connection refused) (is the server running and reachable?)
17:03:21 [Skill] WARN  BrokerClient: 81 - Connection refused (Connection refused) (is the server running and reachable?)
17:03:21 [Skill] WARN  BrokerClient: 81 - Connection refused (Connection refused) (is the server running and reachable?)
17:03:22 [Skill] WARN  BrokerClient: 81 - Connection refused (Connection refused) (is the server running and reachable?)
17:03:22 [Skill] WARN  BrokerClient: 81 - Connection refused (Connection refused) (is the server running and reachable?)
17:03:22 [Skill] WARN  BrokerClient: 81 - Connection refused (Connection refused) (is the server running and reachable?)
17:03:22 [Skill] WARN  BrokerClient: 81 - Connection refused (Connection refused) (is the server running and reachable?)
17:03:22 [Skill] WARN  BrokerClient: 81 - Connection refused (Connection refused) (is the server running and reachable?)
17:03:22 [Skill] WARN  BrokerClient: 81 - Connection refused (Connection refused) (is the server running and reachable?)
